Actions,Capital,ETH-USD
1,99994,308.644989013672
1,98641.3906683835,320.670989990234
0,100438.261484858,298.585998535156
1,99639.4494070527,314.690002441406
1,101022.035977172,307.024993896484
1,104985.901461989,316.763000488281
1,104069.740442141,337.963989257812
1,103499.945660415,333.442993164063
1,103865.287804198,330.1669921875
1,107851.432263615,331.980010986328
1,109690.797230951,347.401000976562
1,113136.911597654,354.093994140625
1,111363.476640561,367.442993164062
1,117138.343308608,360.31201171875
-1,125519.590003064,381.438995361328
1,125512.058827664,412.501007080078
0,125063.141169098,475.675994873047
1,125316.796818154,465.973999023437
-1,126178.155206631,471.531005859375
-1,126178.155206631,480.518005371094
1,126170.584517318,473.281005859375
1,127320.589756066,431.214996337891
0,129358.373043436,445.209014892578
1,129017.020938158,466.851013183594
1,129347.270510865,463.704986572266
-1,130072.64982108,466.053985595703
-1,130072.64982108,470.294006347656
1,130064.84546209,462.60400390625
1,130411.758235354,426.368988037109
1,132754.453322259,434.989013671875
-1,135289.00462383,457.343994140625
1,135280.887283552,472.789001464844
1,139770.108780724,440.358001708984
1,153836.677216,522.286010742188
0,160528.489224428,644.906005859375
0,159625.833883792,700.593994140625
1,158118.780371529,696.3759765625
1,159880.242747195,686.192016601563
1,163821.988117041,696.236999511719
-1,177134.127111516,721.731994628906
-1,177134.127111516,793.901000976563
-1,177134.127111516,827.515991210938
0,177134.127111516,820.236022949219
1,177123.499063889,822.643005371094
-1,179460.248050174,681.315979003906
1,179449.480435291,721.768981933594
1,183146.39400397,698.869995117188
-1,183859.958880768,763.369995117187
-1,183859.958880768,774.969970703125
-1,183859.958880768,762.2080078125
-1,183859.958880768,740.388977050781
1,183848.927283235,753.815002441406
1,185863.329197712,712.211975097656
1,187289.819438673,755.757019042969
1,200763.705958822,772.346008300781
-1,211866.828324036,886
1,211854.116314336,961.713012695313
1,212569.359272808,975.75
0,215985.018491091,995.153991699219
-1,224562.409298669,1043.01000976563
1,224548.935554111,1158.26000976563
-1,230460.123847015,1146
-1,230460.123847015,1300.33996582031
1,230446.296239584,1268.08996582031
1,235153.84342008,1158.2900390625
-1,243637.503016569,1270.46997070313
-1,243637.503016569,1397.47998046875
0,243637.503016569,1365.2099609375
-1,243637.503016569,1292.63000488281
1,243622.884766388,1061.33996582031
0,244695.889278195,1016.44000244141
1,244804.696636242,1028.81994628906
-1,254730.733593807,1044.94995117188
0,254730.733593807,1155.68005371094
-1,254730.733593807,1055.34997558594
1,254715.449749792,1004.16998291016
0,258478.539802616,987.476989746094
1,258307.888972778,1063.21997070313
1,258220.51520749,1052.69995117188
1,264498.618350671,1055.75
-1,284599.215479592,1111.78002929688
0,284599.215479592,1246.69995117188
1,284582.139526663,1184.13000488281
-1,287088.535200268,1071.08996582031
-1,287088.535200268,1119.36999511719
1,287071.309888156,1035.77001953125
-1,290094.569082567,919.210998535156
-1,290094.569082567,964.6669921875
1,290077.163408422,834.9580078125
-1,297986.118062434,707.736999511719
1,297968.23889535,790.427978515625
1,302733.942971198,755.843017578125
-1,311782.53513478,818.47998046875
-1,311782.53513478,882.466979980469
1,311763.828182672,859.288024902344
-1,315899.505654354,817.507995605469
1,315880.551684014,869.293029785156
1,321716.489963453,844.278991699219
1,323440.730524736,923.72802734375
1,324679.447111364,934.786010742188
-1,330864.566616528,944.747985839844
1,330844.714742531,973.348999023438
-1,332272.709804424,921.668029785156
-1,332272.709804424,943.567016601562
-1,332272.709804424,894.135009765625
1,332252.773441836,849.262023925781
-1,336449.172728737,811.585021972656
0,336449.172728737,861.593017578125
1,336428.985778374,839.458984375
1,338364.095137312,845.278015136719
1,339617.896170199,870.364990234375
1,335212.260307632,877.934020996094
-1,339136.552162373,856.012023925781
0,339136.552162373,871.763977050781
0,339136.552162373,856.710998535156
-1,339136.552162373,856.185974121094
-1,339136.552162373,866.846008300781
-1,339136.552162373,853.817016601563
-1,339136.552162373,816.27099609375
1,339116.203969243,752.570007324219
-1,341456.645582404,702.197021484375
1,341436.158183669,730.159973144531
-1,345058.866511441,685.31201171875
-1,345058.866511441,724.406005859375
-1,345058.866511441,698.153015136719
-1,345058.866511441,691.218994140625
-1,345058.866511441,614.838989257813
-1,345058.866511441,611.778015136719
-1,345058.866511441,601.677978515625
1,345038.162979451,551.640014648438
0,347375.560066599,546.6259765625
1,347395.104659689,556.721984863281
-1,348430.188945066,559.099975585938
-1,348430.188945066,562.10302734375
-1,348430.188945066,539.864013671875
-1,348430.188945066,542.572021484375
-1,348430.188945066,522.703002929688
-1,348430.188945066,524.286987304687
1,348409.283133729,489.589996337891
-1,347815.423985911,450.290985107422
1,347794.555060472,448.075012207031
1,349341.248499415,385.904998779297
-1,349923.172109275,395.003997802734
1,349902.176718949,397.253997802734
0,351180.142517695,379.699005126953
-1,356774.191811933,387.31201171875
1,356752.785360424,416.484985351562
-1,357256.842110608,379.946990966797
1,357235.406700081,382.730987548828
1,360117.430251941,370.380004882812
-1,365301.777557297,385.743011474609
1,365279.859450644,400.856994628906
1,368142.804243058,399.411010742187
1,373414.312107257,415.023986816406
-1,400427.565174702,430.161010742188
1,400403.539520791,493.160003662109
1,401804.917338873,492.579986572266
-1,410576.073005786,502.880004882813
-1,410576.073005786,532.073974609375
1,410551.438441406,511.144989013672
1,414105.788749492,503.308990478516
1,426519.06627126,524.038024902344
-1,444736.744006089,567.989013671875
1,444710.059801449,616.004028320313
1,447107.093256983,606.119018554687
1,452495.239876465,621.198974609375
-1,475448.365091025,643.398010253906
1,475419.83818912,707.06201171875
-1,482740.468939843,618.078979492188
1,482711.504511707,662.109008789063
-1,488178.065259219,644.64599609375
-1,488178.065259219,683.911987304688
-1,488178.065259219,689.760986328125
1,488148.774575304,670.463012695313
1,490086.706008684,674.075012207031
1,513955.145428576,686.591003417969
-1,516014.596626238,776.775024414063
-1,516014.596626238,784.5830078125
-1,516014.596626238,816.088012695312
0,516014.596626238,793.338989257813
0,516014.596626238,755.008972167969
-1,516014.596626238,752.901977539063
-1,516014.596626238,752.578979492187
1,515983.635750441,727.013000488281
1,516939.897600335,679.877014160156
-1,529851.666843151,687.174987792969
0,529851.666843151,732.732971191406
-1,529851.666843151,731.143005371094
-1,529851.666843151,708.086975097656
1,529819.875743141,708.718017578125
-1,533239.045008465,672.101989746094
-1,533239.045008465,695.072021484375
-1,533239.045008465,697.922973632813
-1,533239.045008465,717.192993164062
-1,533239.045008465,700.177978515625
1,533207.050665765,646.669982910156
-1,536526.545610577,584.536010742188
-1,536526.545610577,602.140014648438
-1,536526.545610577,587.426025390625
-1,536526.545610577,588.52001953125
1,536494.35401784,573.044982910156
-1,546753.602764313,516.148010253906
-1,546753.602764313,566.830017089844
0,546753.602764313,558.497009277344
1,546720.797548147,578.671997070313
1,548911.837502416,580.429016113281
0,557891.648721785,591.258972167969
0,549367.426205885,619.43701171875
-1,554794.355115736,593.406005859375
-1,554794.355115736,610.262023925781
-1,554794.355115736,607.68701171875
-1,554794.355115736,605.442993164063
-1,554794.355115736,600.905029296875
1,554761.067454429,594.344970703125
-1,556194.833619335,524.856994628906
-1,556194.833619335,532.710021972656
1,556161.461929318,498.018005371094
-1,566000.781199788,478.381011962891
1,565966.821152916,520.47998046875
0,567992.257866475,490.414001464844
1,568116.298497652,499.459991455078
1,575681.697915226,499.382995605469
-1,586186.330765495,519.023010253906
-1,586186.330765495,538.505981445313
-1,586186.330765495,536.447021484375
1,586151.159585649,527.193969726563
-1,588340.882602177,466.273986816406
1,588305.582149221,474.768005371094
-1,588983.612674336,455.936004638672
-1,588983.612674336,460.733001708984
-1,588983.612674336,432.243988037109
1,588948.273657576,442.290008544922
1,592724.147721683,422.587005615234
-1,602211.597187059,436.209014892578
1,602175.464491228,455.242004394531
-1,607859.712407111,453.824005126953
0,607859.712407111,475.385986328125
0,607859.712407111,464.151000976563
1,607823.240824367,467.286987304688
1,607691.592609151,474.356994628906
-1,615832.606489062,474.057006835938
-1,615832.606489062,492.067993164063
-1,615832.606489062,488.877990722656
1,615795.656532673,476.161987304688
-1,619223.478834951,434.515014648438
1,619186.325426221,446.502014160156
-1,620324.296035524,430.740997314453
1,620287.076577762,434.510986328125
1,624171.935688955,435.882995605469
1,639705.471120436,450.424987792969
-1,653338.447001355,480.076995849609
-1,653338.447001355,500.838012695313
-1,653338.447001355,480.627990722656
1,653299.246694535,469.307006835938
1,656669.98291434,450.678985595703
-1,655236.52559796,462.43798828125
1,655197.211406424,459.438995361328
-1,663484.494596896,451.135986328125
1,663444.68552722,479.906005859375
1,661038.725785499,472.330993652344
-1,663906.479442095,464.009002685547
1,663866.645053328,469.678009033203
-1,663800.40149113,466.915008544922
-1,663800.40149113,466.826995849609
-1,663800.40149113,457.244995117188
0,663800.40149113,433.868988037109
1,663760.573467041,420.805999755859
-1,665575.007954391,412.566986083984
-1,665575.007954391,418.236999511719
-1,665575.007954391,407.346008300781
-1,665575.007954391,410.566986083984
-1,665575.007954391,406.800994873047
-1,665575.007954391,379.891998291016
-1,665575.007954391,356.971008300781
-1,665575.007954391,365.776000976562
-1,665575.007954391,334.264007568359
-1,665575.007954391,320.822998046875
-1,665575.007954391,320.209991455078
1,665535.073453914,286.364990234375
1,667140.494562587,280.386993408203
1,671968.020825426,282.740997314453
-1,703797.790445803,287.683013916016
1,703755.562578377,316.790985107422
-1,706144.52195457,295.670013427734
1,706102.153283253,301.381011962891
-1,710028.704004847,273.330993652344
1,709986.102282607,281.967987060547
1,712967.17021702,271.747985839844
-1,718437.583113634,278.110992431641
-1,718437.583113634,283.281005859375
1,718394.476858647,279.524993896484
1,723791.608569295,275.350006103516
1,733835.521874322,286.648986816406
-1,724963.982029672,296.162994384766
1,724920.48419075,289.752990722656
1,724323.953171145,284.119995117188
0,735754.804853896,283.496002197266
1,734753.088905086,295.453002929687
-1,728439.364147881,295.180999755859
-1,728439.364147881,289.296997070312
1,728395.657786032,286.045013427734
-1,727069.176715785,231.647994995117
-1,727069.176715785,229.535003662109
1,727025.552565182,217.912002563477
1,726236.444500858,198.384994506836
-1,726441.808341215,197.850997924805
